1,1,1,0,3.28,0.05699,0.52,0.03,918.6,33.904,0
1,1,1,1,3.54,0.07755,0.52,0.03,918.8,32.521,0
1,1,1,2,3.41,0.07661,0.52,0.03,918.7,31.771,0
1,1,1,3,3.09,0.06531,0.52,0.03,918.6,31.242,0
1,1,1,4,3.22,0.07418,0.5,0.03,918.6,30.818,0
1,1,1,5,3.15,0.07272,0.48,0.03,918.6,30.537,0
1,1,1,6,2.66,0.04788,0.45,0.037,919.2,29.19,0
1,1,1,7,2.94,0.07694,0.56,0.037,918.7,28.129,0
1,1,1,8,2.8,0.09764,0.64,0.037,918.9,28.446,34.45
1,1,1,9,5.08,0.25387,0.63,0.01,920.2,29.466,215.95
1,1,1,10,3.46,0.16842,0.69,0.01,919.4,31.467,356.8
1,1,1,11,4.26,0.22352,0.73,0.01,919.8,32.813,448.07
1,1,1,12,5.84,0.33012,0.76,0.023,920,33.73,489.2
1,1,1,13,5.34,0.30124,0.71,0.023,920.2,34.18,469.05
1,1,1,14,5.59,0.32003,0.65,0.023,920.1,34.286,392.92
1,1,1,15,3.38,0.19115,0.59,0.007,920.3,33.939,212.78
1,1,1,16,5.02,0.29237,0.51,0.007,920.1,32.965,74.64
1,1,1,17,4.2,0.25039,0.41,0.007,920.2,31.466,0
1,1,1,18,3.48,0.1963,0.05,0,919.7,28.44,0
1,1,1,19,3.42,0,0.01,0,920.2,27.045,0
1,1,1,20,3.45,0.03397,0.05,0,920,25.921,0
1,1,1,21,3.19,0.13065,0.19,0,920.1,24.634,0
1,1,1,22,3.38,0.13021,0.23,0,919.8,24.125,0
1,1,1,23,3.28,0.10994,0.27,0,919.9,24.413,0
1,2,2,0,2.62,0.05912,0.32,0.003,918.7,24.991,0
1,2,2,1,3.01,0.07699,0.3,0.003,919.8,25.725,0
1,2,2,2,2.82,0.06619,0.28,0.003,919.3,26.568,0
1,2,2,3,1.62,0.00582,0.28,0,917.8,27.281,0
1,2,2,4,2.3,0.04404,0.23,0,918.5,27.385,0
